"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","487","Успешная авторизация пользователя в системе [2] POTTER","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","252","Успешная авторизация пользователя в системе используя класс с методами [3] Ron Weasly","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","231","Успешная авторизация пользователя в системе используя класс с методами [4] Albus Dumbledore","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","3148","Успешная авторизация пользователя в системе [1] GRANGER","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","291","Успешная авторизация пользователя в системе используя класс с методами [1] Hermoine Granger","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","253","Успешная авторизация пользователя в системе используя класс с методами [2] Harry Potter","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","119","Успешная авторизация пользователя в системе [3] Ron Weasly","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","434","Успешная авторизация пользователя в системе [3] WEASLY","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","115","Успешная авторизация пользователя в системе [5] Neville Longbottom","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","258","Успешная авторизация пользователя в системе используя класс с методами [5] Neville Longbottom","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","125","Успешная авторизация пользователя в системе [1] Hermoine Granger","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","118","Успешная авторизация пользователя в системе [2] Harry Potter","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","114","Успешная авторизация пользователя в системе [4] Albus Dumbledore","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
