"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2028","Успешная авторизация пользователя в системе [4] Albus Dumbledore","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","2102","Успешная авторизация пользователя в системе [5] Neville Longbottom","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","2328","Успешная авторизация пользователя в системе используя класс с методами [4] Albus Dumbledore","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","2125","Успешная авторизация пользователя в системе [1] Hermoine Granger","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","2826","Успешная авторизация пользователя в системе [3] WEASLY","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","2912","Успешная авторизация пользователя в системе [2] POTTER","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","2212","Успешная авторизация пользователя в системе [3] Ron Weasly","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","2345","Успешная авторизация пользователя в системе используя класс с методами [2] Harry Potter","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","2178","Успешная авторизация пользователя в системе [2] Harry Potter","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","3833","Успешная авторизация пользователя в системе [1] GRANGER","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","2324","Успешная авторизация пользователя в системе используя класс с методами [1] Hermoine Granger","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","2294","Успешная авторизация пользователя в системе используя класс с методами [3] Ron Weasly","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","2145","Успешная авторизация пользователя в системе используя класс с методами [5] Neville Longbottom","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
