"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","205","Успешная авторизация пользователя в системе используя класс с методами [2] Harry Potter","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","89","Успешная авторизация пользователя в системе [3] Ron Weasly","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","336","Успешная авторизация пользователя в системе [2] POTTER","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","190","Успешная авторизация пользователя в системе используя класс с методами [3] Ron Weasly","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","85","Успешная авторизация пользователя в системе [4] Albus Dumbledore","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","204","Успешная авторизация пользователя в системе используя класс с методами [4] Albus Dumbledore","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","338","Успешная авторизация пользователя в системе [3] WEASLY","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","86","Успешная авторизация пользователя в системе [5] Neville Longbottom","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","220","Успешная авторизация пользователя в системе используя класс с методами [5] Neville Longbottom","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","99","Успешная авторизация пользователя в системе [1] Hermoine Granger","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","3648","Успешная авторизация пользователя в системе [1] GRANGER","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","86","Успешная авторизация пользователя в системе [2] Harry Potter","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","192","Успешная авторизация пользователя в системе используя класс с методами [1] Hermoine Granger","","2026-08-08","passed","2026-08-08","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
