"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","Успешная авторизация пользователя в системе [2] Harry Potter","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","189","Успешная авторизация пользователя в системе [3] Ron Weasly","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","181","Успешная авторизация пользователя в системе [4] Albus Dumbledore","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","266","Успешная авторизация пользователя в системе используя класс с методами [2] Harry Potter","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","247","Успешная авторизация пользователя в системе используя класс с методами [3] Ron Weasly","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","22","systemPropertiesTest()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest"
"","361","Успешная авторизация пользователя в системе используя класс с методами [4] Albus Dumbledore","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","1","systemPropertiesTest1()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest1"
"","4489","Успешная авторизация пользователя в системе [1] GRANGER","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","317","Успешная авторизация пользователя в системе используя класс с методами [1] Hermoine Granger","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","2","systemPropertiesTest5()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest5"
"","3","systemPropertiesTest3()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest3"
"","0","systemPropertiesTest2()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest2"
"","187","Успешная авторизация пользователя в системе [5] Neville Longbottom","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","441","Успешная авторизация пользователя в системе [3] WEASLY","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","423","Успешная авторизация пользователя в системе [2] POTTER","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","192","Успешная авторизация пользователя в системе [1] Hermoine Granger","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","268","Успешная авторизация пользователя в системе используя класс с методами [5] Neville Longbottom","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","2","systemPropertiesTest4()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest4"
