"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","371","Успешная авторизация пользователя в системе используя класс с методами [4] Albus Dumbledore","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","245","Успешная авторизация пользователя в системе [3] Ron Weasly","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","252","Успешная авторизация пользователя в системе [4] Albus Dumbledore","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","248","Успешная авторизация пользователя в системе [1] Hermoine Granger","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","232","Успешная авторизация пользователя в системе [5] Neville Longbottom","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","337","Успешная авторизация пользователя в системе используя класс с методами [5] Neville Longbottom","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","338","Успешная авторизация пользователя в системе используя класс с методами [2] Harry Potter","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","382","Успешная авторизация пользователя в системе используя класс с методами [3] Ron Weasly","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","259","Успешная авторизация пользователя в системе [2] Harry Potter","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","361","Успешная авторизация пользователя в системе используя класс с методами [1] Hermoine Granger","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","570","Успешная авторизация пользователя в системе [3] WEASLY","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","4093","Успешная авторизация пользователя в системе [1] GRANGER","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","606","Успешная авторизация пользователя в системе [2] POTTER","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
